lon,lat,name
144.9631,-37.8136,Melbourne
144.3607,-38.1499,Geelong
143.8503,-37.5622,Ballarat
144.2794,-36.7570,Bendigo
145.3985,-36.3833,Shepparton
141.9990,-34.1856,Mildura
142.4869,-38.3818,Warrnambool
146.5403,-38.1950,Traralgon
146.3231,-36.3567,Wangaratta
146.8881,-36.1214,Wodonga
142.1994,-36.7111,Horsham
147.0635,-38.1110,Sale
147.6100,-37.8250,Bairnsdale
143.5540,-35.3390,Swan Hill
144.7500,-36.1333,Echuca
141.6020,-38.3510,Portland
142.0220,-37.7450,Hamilton
143.5850,-38.3400,Colac
145.1220,-38.1440,Frankston
145.2150,-37.9870,Dandenong
144.6610,-37.9000,Werribee
145.4830,-38.0710,Pakenham
144.5830,-37.6830,Melton
144.7280,-37.5790,Sunbury
144.9410,-37.5990,Craigieburn
144.7500,-37.8360,Point Cook
142.9320,-37.2830,Ararat
142.7800,-37.0560,Stawell
144.2170,-37.0640,Castlemaine
145.9830,-36.5520,Benalla
146.0050,-36.0190,Yarrawonga
147.9950,-37.8790,Lakes Entrance
145.5910,-38.6050,Wonthaggi
145.9460,-38.4790,Leongatha
146.3950,-38.2340,Morwell
145.7140,-38.1660,Warragul
145.2350,-37.8150,Ringwood
144.8320,-37.7830,Sunshine
143.7350,-37.0480,Maryborough
144.1500,-37.3410,Daylesford
