datetime,feature,count,grid,gen_s,rast_s,enc_s,total_s,pixels_on,optimised
2026-08-11 23:02:14,points,100000,4096,0.063000,0.003000,0.735000,0.801000,94973,
2026-08-11 23:02:16,points,100000,8192,0.046000,0.009000,2.250000,2.305000,98717,
2026-08-11 23:02:25,points,100000,16384,0.063000,0.031000,8.192000,8.286000,99683,
2026-08-11 23:02:25,points,500000,4096,0.254000,0.011000,0.530000,0.795000,398263,
2026-08-11 23:02:28,points,500000,8192,0.340000,0.016000,2.185000,2.541000,469748,
2026-08-11 23:02:37,points,500000,16384,0.386000,0.066000,8.359000,8.811000,491934,
2026-08-11 23:02:38,points,1000000,4096,0.499000,0.011000,0.538000,1.048000,666818,
2026-08-11 23:02:41,points,1000000,8192,0.476000,0.022000,2.081000,2.579000,885697,
2026-08-11 23:02:49,points,1000000,16384,0.479000,0.052000,7.803000,8.334000,968418,
2026-08-11 23:02:52,points,5000000,4096,2.546000,0.047000,0.481000,3.074000,1486146,
2026-08-11 23:02:57,points,5000000,8192,2.667000,0.103000,2.263000,5.033000,3085507,
2026-08-11 23:03:09,points,5000000,16384,2.669000,0.126000,8.792000,11.587000,4308295,
2026-08-11 23:03:16,points,10000000,4096,6.089000,0.122000,0.600000,6.811000,1801571,
2026-08-11 23:03:26,points,10000000,8192,6.586000,0.176000,3.653000,10.415000,4519940,
2026-08-11 23:03:47,points,10000000,16384,8.317000,0.279000,11.835000,20.431000,7594634,
2026-08-11 23:04:12,points,50000000,4096,24.989000,0.350000,0.441000,25.780000,2386697,
2026-08-11 23:04:48,points,50000000,8192,33.003000,0.657000,2.103000,35.763000,7577640,
2026-08-11 23:05:34,points,50000000,16384,34.391000,1.228000,9.708000,45.327000,19974374,
2026-08-11 23:06:32,points,100000000,4096,57.105000,0.738000,0.499000,58.342000,2590629,
2026-08-11 23:07:37,points,100000000,8192,62.074000,1.313000,2.052000,65.439000,8627743,
2026-08-11 23:08:43,points,100000000,16384,55.465000,2.111000,7.885000,65.461000,25499335,
