epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7003,1.51719,4.8546,0.97578,0.7998,0.35289,0.43957,0.30041,1.24063,2.3396,0.94151,0.000324074,0.000324074,0.000324074
2,58.7375,1.37883,1.91399,0.97544,0.73851,0.53374,0.63939,0.37356,1.32916,1.8398,0.96915,0.00064656,0.00064656,0.00064656
3,76.834,1.46425,1.52272,0.98672,0.81603,0.52642,0.63799,0.37473,1.33466,1.75183,0.97667,0.000958046,0.000958046,0.000958046
4,94.8942,1.42583,1.31184,0.98178,0.77086,0.51196,0.60631,0.36671,1.34284,1.97112,1.00017,0.0009505,0.0009505,0.0009505
5,112.178,1.47171,1.31751,0.99174,0.78072,0.55055,0.73418,0.46919,1.30347,1.61166,0.96323,0.000934,0.000934,0.000934
6,129.632,1.38324,1.19043,0.96893,0.81276,0.55017,0.75197,0.5082,1.25675,1.29874,0.96427,0.0009175,0.0009175,0.0009175
7,146.507,1.40436,1.10011,0.97137,0.76434,0.71823,0.74754,0.48091,1.26322,1.32266,0.94267,0.000901,0.000901,0.000901
8,163.93,1.35455,1.14126,0.96787,0.61214,0.81486,0.80149,0.54247,1.27254,1.18529,0.97164,0.0008845,0.0008845,0.0008845
9,180.888,1.37951,1.07651,0.95756,0.73998,0.77519,0.79958,0.50507,1.21965,1.17813,0.9567,0.000868,0.000868,0.000868
10,198.987,1.3131,1.01945,0.95417,0.75434,0.68896,0.7773,0.47998,1.23631,1.34972,0.95484,0.0008515,0.0008515,0.0008515
11,217.854,1.31674,1.05056,0.96914,0.84999,0.70405,0.79149,0.51791,1.21696,1.19014,0.93233,0.000835,0.000835,0.000835
12,235.314,1.2863,0.9804,0.9356,0.83134,0.7722,0.81845,0.49885,1.19831,1.06189,0.93026,0.0008185,0.0008185,0.0008185
13,252.378,1.27164,0.92958,0.9406,0.83663,0.73484,0.83428,0.54439,1.14879,1.13744,0.91686,0.000802,0.000802,0.000802
14,269.437,1.27334,0.92713,0.94332,0.57258,0.82759,0.78803,0.50418,1.19025,1.0936,0.91474,0.0007855,0.0007855,0.0007855
15,286.503,1.26237,0.90669,0.92889,0.79866,0.73228,0.81159,0.5388,1.20779,1.19792,0.93571,0.000769,0.000769,0.000769
16,303.608,1.24742,0.89278,0.92534,0.69284,0.83897,0.79977,0.52077,1.21843,1.2726,0.93121,0.0007525,0.0007525,0.0007525
17,321.371,1.24959,0.89742,0.93441,0.79697,0.7688,0.81931,0.51927,1.20147,1.09586,0.93712,0.000736,0.000736,0.000736
18,339.397,1.22018,0.84502,0.91789,0.85623,0.75274,0.80151,0.53397,1.12914,1.05352,0.9126,0.0007195,0.0007195,0.0007195
19,356.88,1.21613,0.85166,0.91709,0.81902,0.79371,0.82196,0.55142,1.20952,1.0776,0.92314,0.000703,0.000703,0.000703
20,374.608,1.22675,0.8588,0.92442,0.84309,0.75409,0.8083,0.55132,1.21549,1.05238,0.93228,0.0006865,0.0006865,0.0006865
21,392.046,1.18476,0.81145,0.91306,0.87714,0.73766,0.84232,0.52814,1.13419,0.96963,0.90015,0.00067,0.00067,0.00067
22,409.192,1.19611,0.78726,0.90554,0.8201,0.76659,0.82746,0.56716,1.13224,1.01766,0.90368,0.0006535,0.0006535,0.0006535
23,426.833,1.21677,0.80754,0.91128,0.86839,0.74187,0.80978,0.53891,1.13817,1.04515,0.91258,0.000637,0.000637,0.000637
24,443.26,1.15918,0.78687,0.90427,0.79644,0.81688,0.82854,0.56877,1.14873,1.0686,0.91261,0.0006205,0.0006205,0.0006205
25,460.743,1.17848,0.80633,0.89328,0.83965,0.76879,0.82335,0.53077,1.15687,1.09509,0.9155,0.000604,0.000604,0.000604
26,478.806,1.17518,0.80042,0.89297,0.83359,0.77693,0.82516,0.58739,1.1507,1.0297,0.91838,0.0005875,0.0005875,0.0005875
27,496.815,1.15564,0.77901,0.90145,0.7655,0.84196,0.82595,0.58694,1.17616,0.9578,0.91515,0.000571,0.000571,0.000571
28,514.388,1.13933,0.75601,0.90791,0.85368,0.75632,0.81033,0.54315,1.1571,1.05787,0.91491,0.0005545,0.0005545,0.0005545
